0.03, 0.09, -0.46, 0.94
0.67, 0.09, -0.76, 0.85
0.19, -0.45, -0.31, -0.42
-0.17, 0.2, -0.35, -0.91
0.01, 0.56, 0.73, -0.22
-0.74, -0.97, 0.56, -0.26
-0.39, -0.34, 0.75, 0.5
-0.1, -0.33, -0.45, 0.2
-0.86, -0.47, 0.97, 0.69
-0.79, 0.33, 0.16, -0.8
0.43, 0.15, 0.32, -0.97
-0.1, -0.32, -0.46, 0.97
0.47, -0.71, -0.64, -0.18
0.49, -0.9, -0.12, -0.74
0.42, -0.89, 0.8, -0.88
0.04, 0.19, 0.38, -0.34
-0.06, 0.02, -0.94, -0.6
0.75, -0.6, -0.32, 0.03
0.08, -0.98, 0.28, -0.95
-0.75, 0.61, 0.61, -0.26
-0.33, -0.8, 0.61, 0.33
-0.32, 0.36, -0.63, 0.6
-0.05, 0.93, -0.7, -0.93
-0.36, -0.1, 0.98, -0.86
-0.51, 0.19, 0.66, 0.12
-0.2, -0.88, -0.36, 0.79
-0.08, -0.15, 0.66, -0.63
-0.02, -0.78, 0.68, 0.23
-0.63, -0.5, -0.68, -0.77
-0.19, 0.12, 0.32, -0.68
-0.34, -0.88, -0.55, 0.73
0.46, -0.64, 0.45, -0.19
0.76, 0.86, -0.95, -0.51
-0.29, -0.26, 0.17, -0.8
0.04, 0.6, 0.35, 0.09
0.53, -0.52, -0.26, -0.91
0.21, -0.64, -0.34, 0.77
0.82, 0.49, -0.71, 0.88
0.58, 0.88, -0.76, -0.19
-0.22, -0.02, 0.08, 0.74
0.09, 0.49, 0.41, -0.42
0.51, -0.49, 0.02, 0.25
0.86, 0.1, -0.7, 0.2
0.73, -0.05, -0.14, -0.14
0.2, -0.85, -0.77, 0.3
0.9, 0.9, 0.12, -0.8
0.74, 0.49, 0.16, 0.49
-0.95, 0.88, -0.25, -0.78
-0.28, -0.46, -0.52, 0.27
0.19, -0.63, -0.01, 0.31
0.96, -0.96, -0.68, -0.32
0.53, 0.46, -0.42, 0.69
-0.83, -0.22, -0.35, 0.58
0.86, -0.12, 0.81, -0.55
0.56, 1.0, -0.11, 0.24
-0.33, -0.52, 0.81, 0.21
0.73, 0.4, 0.26, 0.99
0.08, 0.73, -0.1, -0.36
-0.8, -0.95, 0.02, 0.47
-0.88, 0.0, 0.5, -0.35
0.81, -0.86, 0.5, -0.03
0.5, 0.55, -0.86, 0.81
-0.65, 0.1, 0.94, -0.79
-0.4, -0.42, -0.35, -0.92
-0.16, -0.39, -0.35, -0.92
-0.18, -0.86, 0.84, -0.05
-0.69, -0.03, 0.34, -0.13
0.1, 0.88, -0.58, 0.13
-0.38, -0.61, 0.25, 0.91
-0.56, -0.14, -0.13, 0.89
0.39, 0.22, -0.03, -0.74
0.93, -0.41, 0.1, -0.44
0.62, -0.37, -0.62, 0.67
-0.8, 0.05, -0.5, 0.36
0.35, 0.91, -0.57, -0.98
-0.5, -0.25, 0.95, -0.36
0.24, -0.94, -0.37, 0.94
-0.69, -0.99, -0.46, -0.41
-0.99, 0.2, -0.36, 0.45
0.39, 0.1, -0.23, -0.57
-0.46, 0.0, -0.45, -0.56
0.17, 0.51, 0.24, -0.2
0.38, -0.11, 0.44, 0.53
0.37, -0.37, -0.65, -0.82
-0.82, -0.05, 0.41, -0.98
-0.62, -0.91, -0.5, 0.87
0.34, -0.09, -0.86, -0.93
-0.89, 0.76, 0.19, -0.77
-0.31, 0.02, -0.88, -0.51
0.77, -0.8, 0.13, -0.25
-0.21, 0.42, 0.15, 0.19
0.42, 0.49, 0.56, 0.12
-0.11, 0.47, 0.07, -0.13
0.21, -0.44, -0.34, 0.51
-0.28, -0.34, -0.11, 0.85
-0.52, -0.86, 0.74, 0.8
-0.64, 0.9, -0.51, 0.44
0.34, 0.52, 0.91, -0.1
0.79, 0.86, -0.18, 0.31
0.4, -0.73, -0.06, -0.93
-0.811079353850175, -0.86, 0.74, 0.8
0.9, 0.9, 0.12, -0.8
0.58, 0.88, -0.6733754005175141, -0.5057409657101553
0.7744831835637408, 0.46, -0.42, 0.699171528157922
-0.39269131649995787, 0.52, 0.91, -0.1
0.34, -0.8, 0.8468494965097224, 0.33
0.22727974443014923, 1.0, -1.0, -0.19
0.58, 0.51, 0.24, -0.2
0.56, -0.42, -0.35, -0.92
-0.4, 1.0, -0.11, 0.24
-0.39, -0.34, 0.12, -0.4136838164844595
0.9, 0.9, 0.75, 0.5
0.1992497410120026, 0.93, -0.42, 0.69
0.53, 0.46, -0.7, -0.93
